"","Species","Season","Site","City","Long","Lat","Crs","Y","J"
"202","striped_skunk","JU14","S07-ARG1","chil",-87.97052731,41.71888815,4326,0,0
"203","striped_skunk","JU14","S07-ARG2","chil",-87.98063145,41.70899378,4326,0,0
"204","striped_skunk","JU14","S08-WGL1","chil",-87.99914707,41.69378812,4326,0,28
"205","striped_skunk","JU14","S08-WGL3","chil",-87.9590198557433,41.704560101191,4326,0,0
"206","striped_skunk","JU14","S09-KTP1","chil",-88.03380771,41.6782417,4326,0,29
"207","striped_skunk","JU14","S09-SMC1","chil",-88.01264245,41.65701595,4326,0,0
"208","striped_skunk","JU14","S09-VTW0","chil",-88.05987667,41.67081215,4326,0,29
"209","striped_skunk","JU14","S10-ILC1","chil",-88.06930047,41.63776364,4326,0,29
"210","striped_skunk","JU14","S10-LEW1","chil",-88.07710241,41.5993927,4326,0,15
"211","striped_skunk","JU14","S10-LPC1","chil",-88.04816511,41.5915763,4326,0,29
"212","striped_skunk","JU14","S10-LPP0","chil",-88.07212554,41.58289314,4326,0,29
"213","striped_skunk","OC14","C04-MBP1","chil",-87.57339472,41.71308499,4326,0,0
"214","striped_skunk","OC14","C05-BEA1","chil",-87.58721191,41.65419878,4326,0,0
"215","striped_skunk","OC14","C05-BMP1","chil",-87.57510693,41.69479206,4326,0,0
"216","striped_skunk","OC14","C05-SPA1","chil",-87.5635175470222,41.6680983277148,4326,0,0
"217","striped_skunk","OC14","C06-BEA2","chil",-87.58174014,41.64524646,4326,0,0
"218","striped_skunk","OC14","C06-HMP1","chil",-87.56991671,41.65680784,4326,0,0
"219","striped_skunk","OC14","D02-BMT1","chil",-87.66977928,41.91433602,4326,0,0
"220","striped_skunk","OC14","D02-HUP0","chil",-87.69904915,41.90585734,4326,0,27
"221","striped_skunk","OC14","D02-JBS1","chil",-87.6399905,41.94889355,4326,0,16
"222","striped_skunk","OC14","D02-MDU1","chil",-87.6330656,41.96478369,4326,0,31
"223","striped_skunk","OC14","D02-RCP1","chil",-87.69329358,41.94109499,4326,0,27
"224","striped_skunk","OC14","D02-SCP1","chil",-87.68589743,41.92296839,4326,0,27
"225","striped_skunk","OC14","D03-AFP1","chil",-87.71652991,41.94666256,4326,0,27
"226","striped_skunk","OC14","D03-AMP1","chil",-87.7482015,41.96850882,4326,1,27
"227","striped_skunk","OC14","D03-CHP1","chil",-87.76234923,41.94245857,4326,0,27
"228","striped_skunk","OC14","D03-GOM1","chil",-87.73063446,41.97527786,4326,0,29
"229","striped_skunk","OC14","D03-HOR1","chil",-87.69473925,41.95758198,4326,0,0
"230","striped_skunk","OC14","D03-NPV1","chil",-87.72834195,41.98593826,4326,0,0
"231","striped_skunk","OC14","D03-STB1","chil",-87.66563918,41.96962066,4326,1,29
"232","striped_skunk","OC14","D04-DNP1","chil",-87.78423327,41.96512952,4326,0,0
"233","striped_skunk","OC14","D04-EDW0","chil",-87.7646423,41.99098007,4326,0,14
"234","striped_skunk","OC14","D04-FGP1","chil",-87.75452049,41.97728945,4326,0,0
"235","striped_skunk","OC14","D04-RDP1","chil",-87.78559613,41.98961368,4326,0,0
"236","striped_skunk","OC14","D04-ROS0","chil",-87.68932042,41.98771934,4326,0,0
"237","striped_skunk","OC14","D05-ADC2","chil",-87.7944926152454,42.0021481597772,4326,0,0
"238","striped_skunk","OC14","D05-MIA1","chil",-87.79567324,42.02421505,4326,0,29
"239","striped_skunk","OC14","D05-PRC1","chil",-87.8318759,42.02154012,4326,0,29
"240","striped_skunk","OC14","D06-KCG1","chil",-87.85328609,42.07983052,4326,0,29
"241","striped_skunk","OC14","D07-ASC0","chil",-87.88662949,42.05985363,4326,0,0
"242","striped_skunk","OC14","D08-CCC1","chil",-87.92248236,42.15870422,4326,3,29
"243","striped_skunk","OC14","D08-DAW0","chil",-87.89377889,42.12577912,4326,0,29
"244","striped_skunk","OC14","D08-DAW2","chil",-87.90145123,42.13530185,4326,3,29
"245","striped_skunk","OC14","D09-CLG0","chil",-87.9176414,42.187657685,4326,0,0
"246","striped_skunk","OC14","D09-RYW1","chil",-87.90419482,42.1775919,4326,0,14
"247","striped_skunk","OC14","D09-VTC1","chil",-87.9292671,42.20377534,4326,4,28
"248","striped_skunk","OC14","D10-CAN0","chil",-87.93847762,42.24007189,4326,0,29
"249","striped_skunk","OC14","D10-MAC1","chil",-87.92753011,42.25476444,4326,0,29
"250","striped_skunk","OC14","D10-VHC1","chil",-87.94735573,42.22265299,4326,0,29
"251","striped_skunk","OC14","J01-BBS1","chil",-87.61051042,41.84834938,4326,0,37
"252","striped_skunk","OC14","J01-CLP1","chil",-87.65219937,41.91328435,4326,0,29
"253","striped_skunk","OC14","J01-LMP1","chil",-87.61053666,41.83717173,4326,0,37
"254","striped_skunk","OC14","J01-NOR1","chil",-87.60790591,41.86080165,4326,0,0
"255","striped_skunk","OC14","J01-SEP1","chil",-87.63898576,41.90142019,4326,0,29
"256","striped_skunk","OC14","J01-SKP1","chil",-87.66100717,41.87989095,4326,0,37
"257","striped_skunk","OC14","J01-UIC1","chil",-87.6460853,41.86897406,4326,0,16
"258","striped_skunk","OC14","R02-DPG1","chil",-87.69969807,41.86036917,4326,0,16
"259","striped_skunk","OC14","R02-FRP1","chil",-87.73276152,41.86167611,4326,0,36
"260","striped_skunk","OC14","R02-HRF1","chil",-87.7135301798515,41.8687909871892,4326,0,0
"261","striped_skunk","OC14","R03-AUP1","chil",-87.76897765,41.88766256,4326,0,36
"262","striped_skunk","OC14","R03-CPG1","chil",-87.7721358,41.87566237,4326,0,36
"263","striped_skunk","OC14","R03-EUC1","chil",-87.79182537,41.86573343,4326,0,36
"264","striped_skunk","OC14","R03-MAP1","chil",-87.80378089,41.86786605,4326,0,16
"265","striped_skunk","OC14","R04-MMW0","chil",-87.83207106,41.85280337,4326,1,36
