"Species","Season","Site","City","Long","Lat","Crs","Y","J"
"raccoon","OC16","S07-ARG2","chil",-87.98063145,41.70899378,4326,0,0
"raccoon","OC16","S07-STJ1","chil",-87.93211936,41.69819734,4326,11,27
"raccoon","OC16","S08-WGL1","chil",-87.99914707,41.69378812,4326,19,27
"raccoon","OC16","S08-WGL3","chil",-87.9590198557433,41.704560101191,4326,0,0
"raccoon","OC16","S09-KTP1","chil",-88.03380771,41.6782417,4326,15,27
"raccoon","OC16","S09-SMC1","chil",-88.01264245,41.65701595,4326,8,27
"raccoon","OC16","S09-VTW0","chil",-88.05987667,41.67081215,4326,26,27
"raccoon","OC16","S10-ILC1","chil",-88.06930047,41.63776364,4326,3,4
"raccoon","OC16","S10-LEW1","chil",-88.07710241,41.5993927,4326,10,27
"raccoon","OC16","S10-LPC1","chil",-88.04816511,41.5915763,4326,4,27
"raccoon","OC16","S10-LPP0","chil",-88.07212554,41.58289314,4326,3,27
"raccoon","JA17","C04-MBP1","chil",-87.57339472,41.71308499,4326,0,0
"raccoon","JA17","C05-BEA1","chil",-87.58721191,41.65419878,4326,3,12
"raccoon","JA17","C05-BMP1","chil",-87.57510693,41.69479206,4326,0,0
"raccoon","JA17","C05-BMP2","chil",-87.56486107,41.6857457,4326,0,0
"raccoon","JA17","C05-EGG1","chil",-87.52634943,41.68809924,4326,2,4
"raccoon","JA17","C05-SPA1","chil",-87.5635175470222,41.6680983277148,4326,0,0
"raccoon","JA17","C06-BEA2","chil",-87.58174014,41.64524646,4326,0,12
"raccoon","JA17","C06-HMP1","chil",-87.56991671,41.65680784,4326,0,0
"raccoon","JA17","D02-BMT1","chil",-87.66977928,41.91433602,4326,0,27
"raccoon","JA17","D02-HUP0","chil",-87.69904915,41.90585734,4326,0,30
"raccoon","JA17","D02-JBS1","chil",-87.6399905,41.94889355,4326,28,28
"raccoon","JA17","D02-MDU1","chil",-87.6330656,41.96478369,4326,0,28
"raccoon","JA17","D02-MOP1","chil",-87.72430748,41.91858492,4326,0,18
"raccoon","JA17","D02-RCP1","chil",-87.69329358,41.94109499,4326,0,30
"raccoon","JA17","D02-SCP1","chil",-87.68589743,41.92296839,4326,0,30
"raccoon","JA17","D03-AFP1","chil",-87.71652991,41.94666256,4326,0,30
"raccoon","JA17","D03-AMP1","chil",-87.7482015,41.96850882,4326,0,30
"raccoon","JA17","D03-CHP1","chil",-87.76234923,41.94245857,4326,1,30
"raccoon","JA17","D03-GOM1","chil",-87.73063446,41.97527786,4326,29,30
"raccoon","JA17","D03-NPV1","chil",-87.72834195,41.98593826,4326,0,0
"raccoon","JA17","D03-STB1","chil",-87.66563918,41.96962066,4326,0,25
"raccoon","JA17","D04-DNP1","chil",-87.78423327,41.96512952,4326,0,30
"raccoon","JA17","D04-EDW0","chil",-87.7646423,41.99098007,4326,29,30
"raccoon","JA17","D04-RDP1","chil",-87.78559613,41.98961368,4326,0,30
"raccoon","JA17","D04-ROS0","chil",-87.68932042,41.98771934,4326,0,31
"raccoon","JA17","D05-ADC2","chil",-87.7944926152454,42.0021481597772,4326,0,0
"raccoon","JA17","D05-BRP1","chil",-87.80710669,42.00945005,4326,0,29
"raccoon","JA17","D05-MIA1","chil",-87.79567324,42.02421505,4326,0,13
"raccoon","JA17","D05-PRC1","chil",-87.8318759,42.02154012,4326,3,28
"raccoon","JA17","D06-KCG1","chil",-87.85328609,42.07983052,4326,10,28
"raccoon","JA17","D07-ASC0","chil",-87.88662949,42.05985363,4326,0,28
"raccoon","JA17","D07-NOC1","chil",-87.87945486,42.09431792,4326,0,27
"raccoon","JA17","D08-CCC1","chil",-87.92248236,42.15870422,4326,1,16
"raccoon","JA17","D08-DAW0","chil",-87.89377889,42.12577912,4326,8,27
"raccoon","JA17","D08-DAW2","chil",-87.90145123,42.13530185,4326,6,27
"raccoon","JA17","D09-CLG0","chil",-87.9176414,42.187657685,4326,3,28
"raccoon","JA17","D09-RYW1","chil",-87.90419482,42.1775919,4326,4,27
"raccoon","JA17","D09-VTC1","chil",-87.9292671,42.20377534,4326,1,28
"raccoon","JA17","D10-CAN0","chil",-87.93847762,42.24007189,4326,15,28
"raccoon","JA17","D10-MAC1","chil",-87.92753011,42.25476444,4326,2,28
"raccoon","JA17","D10-VHC1","chil",-87.94735573,42.22265299,4326,0,28
"raccoon","JA17","J01-BBS1","chil",-87.61051042,41.84834938,4326,0,30
"raccoon","JA17","J01-CLP1","chil",-87.65219937,41.91328435,4326,0,0
"raccoon","JA17","J01-LMP1","chil",-87.61053666,41.83717173,4326,1,30
"raccoon","JA17","J01-NOR1","chil",-87.60790591,41.86080165,4326,1,30
